idx,path_length,tax,time,time_limit_reached,iteration,ram_usage
0,14,-10.0,0.03159189224243164,0,42,4.675785064697266
1,14,0.0,0.02027106285095215,0,38,4.680023193359375
2,15,-8.0,0.026189327239990234,0,43,4.681049346923828
3,29,-2.0,0.1533515453338623,0,255,4.6896820068359375
4,34,-6.0,0.33858823776245117,0,542,4.689186096191406
5,42,-6.0,0.09754610061645508,0,156,4.690021514892578
6,39,0.0,0.07485389709472656,0,134,4.690044403076172
7,45,0.0,0.06617999076843262,0,107,4.689292907714844
8,52,0.0,0.07932019233703613,0,177,4.6999359130859375
9,50,-2.0,0.17557859420776367,0,272,4.689990997314453
10,25,-6.0,0.01800060272216797,0,42,4.689990997314453
11,23,-10.0,0.020524024963378906,0,48,4.689990997314453
12,26,-4.0,0.03847861289978027,0,43,4.689983367919922
13,24,-8.0,0.03424954414367676,0,49,4.6899261474609375
14,27,-2.0,0.020240306854248047,0,44,4.6899261474609375
15,41,-24.0,0.16991472244262695,0,290,4.692058563232422
16,22,-2.0,0.014236211776733398,0,36,4.693607330322266
17,26,-4.0,0.023107051849365234,0,51,4.693264007568359
18,25,-8.0,0.04080677032470703,0,43,4.6927947998046875
19,55,0.0,0.18997788429260254,0,352,4.693500518798828
20,20,-24.0,0.01300358772277832,0,34,4.694904327392578
21,24,-26.0,0.0419611930847168,0,49,4.695964813232422
22,35,0.0,0.06020855903625488,0,133,4.695613861083984
23,43,0.0,0.05699968338012695,0,77,4.695331573486328
24,44,0.0,0.0946662425994873,0,167,4.696620941162109
25,48,0.0,0.9024877548217773,0,1532,4.70611572265625
26,25,-34.0,0.017077207565307617,0,43,4.706047058105469
27,19,-4.0,0.021999597549438477,0,53,4.706047058105469
28,70,-6.0,0.20399856567382812,0,328,4.70562744140625
29,70,0.0,0.22368621826171875,0,390,4.714256286621094
30,21,-56.0,0.03537297248840332,0,35,4.713626861572266
31,25,-58.0,0.02312469482421875,0,50,4.709842681884766
32,28,-4.0,0.02300119400024414,0,56,4.709819793701172
33,30,-24.0,0.07213020324707031,0,109,4.707061767578125
34,29,-2.0,0.020069360733032227,0,46,4.707038879394531
35,65,0.0,39.42591953277588,0,56241,4.659877777099609
36,56,-16.0,12.239294528961182,0,15889,4.663440704345703
37,30,0.0,0.025324583053588867,0,44,4.663440704345703
38,65,-4.0,0.1293339729309082,0,163,4.675468444824219
39,35,-48.0,0.051514625549316406,0,93,4.6753997802734375
40,28,-6.0,0.06001853942871094,0,59,4.666980743408203
41,3,0,60.00031137466431,1,70284,4.681537628173828
42,29,-4.0,0.03908252716064453,0,58,4.682437896728516
43,21,-120.0,0.01534724235534668,0,22,4.683536529541016
44,30,-2.0,0.0606694221496582,0,52,4.682598114013672
45,66,-2.0,0.2265157699584961,0,268,4.679111480712891
46,69,0.0,1.48478364944458,0,1557,4.678276062011719
47,31,-50.0,0.10735487937927246,0,121,4.688053131103516
48,78,0.0,0.13557195663452148,0,137,4.682212829589844
49,34,-50.0,0.06705760955810547,0,97,4.683902740478516
